     1	0 249800 0.168959 0.831041 4.995789 5.023540 1.005563 50002.114149
     2	1 249973 0.169474 0.830526 4.999399 4.886461 0.977413 50000.613787
     3	0 250211 0.166863 0.833137 5.004178 4.918782 0.982938 50000.414815
     4	0 250370 0.164425 0.835575 5.007341 5.232280 1.044925 50000.591021
     5	1 249433 0.166377 0.833623 4.988656 4.899450 0.982118 50000.036995
     6	0 249988 0.165372 0.834628 4.999758 5.053140 1.010678 50000.019866
     7	0 250839 0.164687 0.835313 5.016752 5.072874 1.011188 50000.279220
     8	1 249593 0.169708 0.830292 4.991812 4.896799 0.980968 50000.479055
     9	0 249374 0.167163 0.832837 4.987480 4.791046 0.960615 49999.996466
    10	0 249795 0.167862 0.832138 4.995805 4.962419 0.993322 50000.948631
    11	0 499178 0.165570 0.834430 4.991709 5.026461 1.006965 100001.417924
    12	1 499839 0.168514 0.831486 4.998327 5.033375 1.007015 100001.264811
    13	0 499248 0.168209 0.831791 4.992293 4.979671 0.997481 100003.747045
    14	0 499852 0.165037 0.834963 4.998493 5.052520 1.010810 100000.544162
    15	1 500732 0.164653 0.835347 5.007291 5.062989 1.011125 100000.571184
    16	0 500414 0.166422 0.833578 5.004132 4.978809 0.994941 100000.152626
    17	0 500378 0.165709 0.834291 5.003680 5.019730 1.003212 100002.002758
    18	1 499743 0.167740 0.832260 4.997267 4.907082 0.981960 100003.261362
    19	0 500280 0.165239 0.834761 5.002720 5.068759 1.013204 100001.607009
    20	0 499025 0.166853 0.833147 4.990203 4.962457 0.994442 100000.946158
    21	1 748115 0.168871 0.831129 4.987406 4.955532 0.993611 150000.812914
    22	0 749789 0.167723 0.832277 4.998586 4.959225 0.992126 150000.219522
    23	0 749196 0.168631 0.831369 4.994542 4.937286 0.988540 150002.952751
    24	1 751019 0.164142 0.835858 5.006745 5.008179 1.000289 150001.444344
    25	0 750414 0.166587 0.833413 5.002757 5.059350 1.011313 150000.090208
    26	0 751671 0.166965 0.833035 5.011064 4.970381 0.991884 150002.262436
    27	1 749958 0.165656 0.834344 4.999691 5.128878 1.025840 150000.858150
    28	0 750470 0.164520 0.835480 5.003127 5.049487 1.009267 150000.190256
    29	1 749683 0.165159 0.834841 4.997829 5.113579 1.023163 150001.724922
    30	0 750910 0.165313 0.834687 5.006053 5.103295 1.019426 150000.421549
    31	1 999394 0.167418 0.832582 4.996958 5.022567 1.005125 200000.472316
    32	0 999366 0.167733 0.832267 4.996818 4.973014 0.995237 200000.465902
    33	0 1001519 0.166798 0.833202 5.007598 4.943432 0.987186 199999.898629
    34	1 999977 0.167887 0.832113 4.999870 4.993791 0.998785 200000.581840
    35	0 1000616 0.164725 0.835275 5.003034 5.133769 1.026133 200001.833758
    36	1 1000687 0.166905 0.833095 5.003406 5.032776 1.005871 200001.159384
    37	0 998386 0.169274 0.830726 4.991912 4.940250 0.989652 200000.718487
    38	1 1000677 0.165902 0.834098 5.003336 4.987755 0.996888 200001.968414
    39	0 1000035 0.167209 0.832791 5.000167 4.965081 0.992983 200000.300256
    40	1 999592 0.166499 0.833501 4.997951 5.005018 1.001415 200000.379997
    41	0 1249302 0.166791 0.833209 4.997182 4.995696 0.999704 250001.322777
    42	1 1250603 0.167270 0.832730 5.002389 4.991817 0.997887 250001.132192
    43	0 1247249 0.168027 0.831973 4.988975 4.962298 0.994654 250001.053508
    44	1 1251138 0.166789 0.833211 5.004536 4.989934 0.997083 250000.782072
    45	0 1248971 0.165398 0.834602 4.995883 5.106908 1.022223 250000.027697
    46	1 1251387 0.165889 0.834111 5.005534 5.002766 0.999448 250000.700656
    47	0 1248375 0.167191 0.832809 4.993482 5.002874 1.001882 250000.900159
    48	1 1249424 0.167119 0.832881 4.997695 4.942365 0.988929 250000.045931
    49	0 1247964 0.168857 0.831143 4.991844 4.933040 0.988221 250000.578590
    50	0 1252416 0.163750 0.836250 5.009655 5.167690 1.031546 250000.441973
    51	1 1499420 0.166389 0.833611 4.998038 4.966006 0.993593 300001.732466
    52	1 1500026 0.166617 0.833383 5.000083 4.999376 0.999859 300000.239605
    53	0 1499143 0.166841 0.833159 4.997141 4.946127 0.989792 300000.164111
    54	1 1500526 0.167059 0.832941 5.001738 4.967660 0.993188 300000.922632
    55	0 1497803 0.168254 0.831746 4.992641 4.957504 0.992964 300002.158778
    56	1 1500104 0.168208 0.831792 5.000332 4.949272 0.989790 300000.889729
    57	0 1501019 0.166174 0.833826 5.003344 4.950528 0.989446 300003.130642
    58	1 1498982 0.166537 0.833463 4.996606 5.072488 1.015187 300000.010301
